1; Tomato Basil Pasta; 8 oz pasta, 2 cups cherry tomatoes, 2 cloves garlic, 0.25 cup basil, 2 tbsp olive oil; Cook pasta, sauté garlic and tomatoes in oil, add basil, season, mix with pasta.
2; Chicken Alfredo; 2 boneless chicken breasts, 8 oz fettuccine, 1 cup heavy cream, 1/2 cup grated Parmesan, 2 tbsp butter, 1 pinch salt; Cook chicken, cook pasta, melt butter, add cream, Parmesan, 1 pinch salt, and pepper, toss with pasta and sliced chicken.
3; Veggie Stir-Fry; 1 cup broccoli, 1 bell pepper, 1 piece carrot, 1/2 cup snow peas, 2 tbsp soy sauce, 1 tsp ginger, 2 cloves garlic; Stir-fry veggies, add soy sauce, ginger, and garlic, cook until tender.
4; Beef Tacos; 1 lb ground beef, 1 packet taco seasoning, 8 small tortillas, 1 cup shredded lettuce, 1/2 cup diced tomatoes, 1/2 cup shredded cheddar, 1/4 cup sour cream; Brown beef, add seasoning, serve in tortillas with toppings.
5; Margherita Pizza;0.5 kg pizza dough, 1/2 cup tomato sauce, 1 1/2 cups mozzarella; Roll dough, spread sauce, sprinkle cheese, bake at 475°F (245°C) for 12-15 min, top with basil and oil.
6; Lentil Soup; 1 cup lentils, 4 cups vegetable broth, 1 head onion, 2 piece carrots, 2 cloves garlic, 1 tsp cumin, 1 pinch salt; Sauté onion, garlic, carrots, add lentils, broth, cumin, cook until soft, season.
7; Baked Salmon; 2 salmon fillets, 2 tbsp olive oil,  1 piece lemon, 2 cloves garlic, 1 tsp dill, 1 pinch salt; Drizzle salmon with oil, lemon juice, garlic, dill, 1 pinch salt, and pepper, bake at 375°F (190°C) for 15-20 min.
8; Chicken Noodle Soup; 2 chicken breasts, 8 cups chicken broth, 1 cup sliced carrots, 1 cup sliced celery, 1 cup egg noodles, 1 tsp thyme, 1 pinch salt; Cook chicken in broth, add veggies, noodles, thyme, cook until tender, season.
9; Caesar Salad; 1 head romaine lettuce, 1/2 cup croutons, 1/4 cup grated Parmesan, 1/4 cup Caesar dressing; Toss lettuce with dressing, top with croutons and cheese.
10; Spinach Quiche; 2 cups spinach, 0.5 cup grated Gruyère cheese, 4 piece eggs, 1 cup milk, 1 pinch salt; Fill crust with spinach and cheese, whisk eggs, milk, 1 pinch salt, and pepper, pour over spinach, bake at 350°F (175°C) for 40 min.
11; Beef and Broccoli; 1 lb flank steak, 2 cups broccoli florets, 1/4 cup soy sauce, 2 tbsp oyster sauce, 2 cloves garlic, 1 tsp ginger, 2 tbsp oil; Slice beef, stir-fry with broccoli, add sauces, garlic, and ginger, cook until sauce thickens.
